sequence_index,return,first_chamber_filling,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000303,62.561512,78.06327,52.47395,63,21
1970-01-01 00:00:00.000000304,64.0642,78.61497,49.662434,63,22
1970-01-01 00:00:00.000000305,66.31761,78.95255,46.913578,63,23
1970-01-01 00:00:00.000000306,65.42721,80.49478,43.61979,63,24
1970-01-01 00:00:00.000000307,62.302307,80.21411,42.948494,63,25
1970-01-01 00:00:00.000000308,63.327705,80.05691,43.198315,63,26
1970-01-01 00:00:00.000000309,63.488503,81.63098,43.5706,63,27
1970-01-01 00:00:00.000000310,66.07496,83.00636,44.316162,63,28
1970-01-01 00:00:00.000000311,65.85718,84.286255,45.39159,63,29
1970-01-01 00:00:00.000000312,65.75115,84.62962,47.348568,63,30
1970-01-01 00:00:00.000000313,69.90328,85.25656,49.019096,63,31
1970-01-01 00:00:00.000000314,72.500374,85.833336,50.54302,63,32
1970-01-01 00:00:00.000000315,74.63685,86.45447,51.51426,63,33
1970-01-01 00:00:00.000000316,70.3713,85.80054,49.28145,63,34
1970-01-01 00:00:00.000000317,76.99492,85.026054,47.328312,63,35
1970-01-01 00:00:00.000000318,79.60207,84.19559,43.501156,63,36
1970-01-01 00:00:00.000000319,74.41332,83.89563,42.804783,63,37
1970-01-01 00:00:00.000000320,74.23877,83.84548,43.127895,63,38
1970-01-01 00:00:00.000000321,74.56841,84.28915,43.21277,63,39
1970-01-01 00:00:00.000000322,74.40032,84.59877,43.736504,63,40
1970-01-01 00:00:00.000000323,75.88386,84.708725,44.733795,63,41
1970-01-01 00:00:00.000000324,78.01213,84.46082,45.92688,63,42
1970-01-01 00:00:00.000000325,79.14228,83.36613,46.61457,63,43
1970-01-01 00:00:00.000000326,78.827385,82.59933,47.58005,63,44
1970-01-01 00:00:00.000000327,78.15049,82.04282,48.7307,63,45
1970-01-01 00:00:00.000000328,82.86123,82.77875,50.10513,63,46
1970-01-01 00:00:00.000000329,82.96817,83.8802,51.785305,63,47
1970-01-01 00:00:00.000000330,86.524536,84.543785,51.089893,63,48
1970-01-01 00:00:00.000000331,79.00022,84.58881,49.71869,63,49
1970-01-01 00:00:00.000000156,95.3406,75.92978,42.711235,64,10
1970-01-01 00:00:00.000000157,104.16487,76.132324,43.611115,64,11
1970-01-01 00:00:00.000000158,101.70924,75.77353,44.78202,64,12
1970-01-01 00:00:00.000000159,109.01417,76.5596,45.49672,64,13
1970-01-01 00:00:00.000000160,112.173164,75.611496,45.879623,64,14
1970-01-01 00:00:00.000000161,112.35613,75.91049,46.569252,64,15
1970-01-01 00:00:00.000000162,115.41977,75.92785,46.391777,64,16
