sequence_index,first_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000385,80.85553,88,40
1970-01-01 00:00:00.000000386,81.03395,88,41
1970-01-01 00:00:00.000000387,81.27507,88,42
1970-01-01 00:00:00.000000388,81.74865,88,43
1970-01-01 00:00:00.000000389,82.08044,88,44
1970-01-01 00:00:00.000000390,82.64369,88,45
1970-01-01 00:00:00.000000391,82.33602,88,46
1970-01-01 00:00:00.000000392,82.93114,88,47
1970-01-01 00:00:00.000000393,83.32177,88,48
1970-01-01 00:00:00.000000394,83.482834,88,49
1970-01-01 00:00:00.000000395,83.7741,88,50
1970-01-01 00:00:00.000000396,83.96701,88,51
1970-01-01 00:00:00.000000397,84.26214,88,52
1970-01-01 00:00:00.000000398,84.732834,88,53
1970-01-01 00:00:00.000000399,85.1659,88,54
1970-01-01 00:00:00.000000400,85.43789,88,55
1970-01-01 00:00:00.000000401,85.26911,88,56
1970-01-01 00:00:00.000000402,85.20642,88,57
1970-01-01 00:00:00.000000403,85.03761,88,58
1970-01-01 00:00:00.000000404,84.80711,88,59
1970-01-01 00:00:00.000000405,84.6332,88,60
1970-01-01 00:00:00.000000093,100.0,89,10
1970-01-01 00:00:00.000000094,100.0,89,11
1970-01-01 00:00:00.000000095,100.0,89,12
1970-01-01 00:00:00.000000096,100.0,89,13
1970-01-01 00:00:00.000000097,100.0,89,14
1970-01-01 00:00:00.000000101,72.39679,92,10
1970-01-01 00:00:00.000000102,72.56269,92,11
1970-01-01 00:00:00.000000103,72.45562,92,12
1970-01-01 00:00:00.000000104,72.846245,92,13
1970-01-01 00:00:00.000000105,73.05363,92,14
1970-01-01 00:00:00.000000106,72.94782,92,15
1970-01-01 00:00:00.000000166,84.70296,93,10
1970-01-01 00:00:00.000000167,84.783966,93,11
1970-01-01 00:00:00.000000168,84.95468,93,12
1970-01-01 00:00:00.000000169,85.049194,93,13
1970-01-01 00:00:00.000000170,86.22588,93,14
1970-01-01 00:00:00.000000171,87.776825,93,15
1970-01-01 00:00:00.000000172,89.456024,93,16
1970-01-01 00:00:00.000000173,89.49556,93,17
1970-01-01 00:00:00.000000174,88.81173,93,18
1970-01-01 00:00:00.000000175,87.22994,93,19
1970-01-01 00:00:00.000000176,79.01813,93,20
1970-01-01 00:00:00.000000177,100.0,93,21
1970-01-01 00:00:00.000000178,100.0,93,22
1970-01-01 00:00:00.000000179,100.0,93,23
1970-01-01 00:00:00.000000180,100.0,93,24
1970-01-01 00:00:00.000000181,100.0,93,25
1970-01-01 00:00:00.000000182,100.0,93,26
1970-01-01 00:00:00.000000183,100.0,93,27
1970-01-01 00:00:00.000000114,76.79689,95,10
1970-01-01 00:00:00.000000115,77.43345,95,11
1970-01-01 00:00:00.000000116,78.86767,95,12
1970-01-01 00:00:00.000000117,78.09992,95,13
1970-01-01 00:00:00.000000118,78.12307,95,14
1970-01-01 00:00:00.000000119,77.47011,95,15
1970-01-01 00:00:00.000000120,76.76216,95,16
1970-01-01 00:00:00.000000121,76.01756,95,17
1970-01-01 00:00:00.000000122,76.24998,95,18
1970-01-01 00:00:00.000000183,74.24673,96,10
1970-01-01 00:00:00.000000184,75.365555,96,11
1970-01-01 00:00:00.000000185,75.16203,96,12
1970-01-01 00:00:00.000000186,74.97975,96,13
1970-01-01 00:00:00.000000187,75.25753,96,14
1970-01-01 00:00:00.000000188,75.073296,96,15
1970-01-01 00:00:00.000000189,75.54303,96,16
1970-01-01 00:00:00.000000190,75.37229,96,17
