sequence_index,gran1_blain,block_idx,fcst_origin
1970-01-01 00:00:00.000000011,3768.6868,91,8
1970-01-01 00:00:00.000000012,3739.7812,91,8
1970-01-01 00:00:00.000000013,3755.382,91,8
1970-01-01 00:00:00.000000014,3762.506,91,8
1970-01-01 00:00:00.000000010,3770.7673,91,9
1970-01-01 00:00:00.000000011,3768.6868,91,9
1970-01-01 00:00:00.000000012,3739.7812,91,9
1970-01-01 00:00:00.000000013,3755.382,91,9
1970-01-01 00:00:00.000000014,3762.506,91,9
1970-01-01 00:00:00.000000015,3752.7473,91,9
1970-01-01 00:00:00.000000011,3768.6868,91,10
1970-01-01 00:00:00.000000012,3739.7812,91,10
1970-01-01 00:00:00.000000013,3755.382,91,10
1970-01-01 00:00:00.000000014,3762.506,91,10
1970-01-01 00:00:00.000000015,3752.7473,91,10
1970-01-01 00:00:00.000000016,3793.3894,91,10
1970-01-01 00:00:00.000000012,3739.7812,91,11
1970-01-01 00:00:00.000000013,3755.382,91,11
1970-01-01 00:00:00.000000014,3762.506,91,11
1970-01-01 00:00:00.000000015,3752.7473,91,11
1970-01-01 00:00:00.000000016,3793.3894,91,11
1970-01-01 00:00:00.000000017,3807.986,91,11
1970-01-01 00:00:00.000000013,3755.382,91,12
1970-01-01 00:00:00.000000014,3762.506,91,12
1970-01-01 00:00:00.000000015,3752.7473,91,12
1970-01-01 00:00:00.000000016,3793.3894,91,12
1970-01-01 00:00:00.000000017,3807.986,91,12
1970-01-01 00:00:00.000000018,3803.7253,91,12
1970-01-01 00:00:00.000000014,3762.506,91,13
1970-01-01 00:00:00.000000015,3752.7473,91,13
1970-01-01 00:00:00.000000016,3793.3894,91,13
1970-01-01 00:00:00.000000017,3807.986,91,13
1970-01-01 00:00:00.000000018,3803.7253,91,13
1970-01-01 00:00:00.000000019,3810.594,91,13
1970-01-01 00:00:00.000000015,3752.7473,91,14
1970-01-01 00:00:00.000000016,3793.3894,91,14
1970-01-01 00:00:00.000000017,3807.986,91,14
1970-01-01 00:00:00.000000018,3803.7253,91,14
1970-01-01 00:00:00.000000019,3810.594,91,14
1970-01-01 00:00:00.000000020,3780.7554,91,14
1970-01-01 00:00:00.000000016,3793.3894,91,15
1970-01-01 00:00:00.000000017,3807.986,91,15
1970-01-01 00:00:00.000000018,3803.7253,91,15
1970-01-01 00:00:00.000000019,3810.594,91,15
1970-01-01 00:00:00.000000020,3780.7554,91,15
1970-01-01 00:00:00.000000021,3759.4106,91,15
1970-01-01 00:00:00.000000017,3807.986,91,16
1970-01-01 00:00:00.000000018,3803.7253,91,16
1970-01-01 00:00:00.000000019,3810.594,91,16
1970-01-01 00:00:00.000000020,3780.7554,91,16
1970-01-01 00:00:00.000000021,3759.4106,91,16
1970-01-01 00:00:00.000000022,3755.878,91,16
1970-01-01 00:00:00.000000018,3803.7253,91,17
1970-01-01 00:00:00.000000019,3810.594,91,17
1970-01-01 00:00:00.000000020,3780.7554,91,17
1970-01-01 00:00:00.000000021,3759.4106,91,17
1970-01-01 00:00:00.000000022,3755.878,91,17
1970-01-01 00:00:00.000000023,3747.796,91,17
1970-01-01 00:00:00.000000019,3810.594,91,18
1970-01-01 00:00:00.000000020,3780.7554,91,18
1970-01-01 00:00:00.000000021,3759.4106,91,18
1970-01-01 00:00:00.000000022,3755.878,91,18
1970-01-01 00:00:00.000000023,3747.796,91,18
1970-01-01 00:00:00.000000024,3749.3652,91,18
1970-01-01 00:00:00.000000020,3780.7554,91,19
1970-01-01 00:00:00.000000021,3759.4106,91,19
1970-01-01 00:00:00.000000022,3755.878,91,19
1970-01-01 00:00:00.000000023,3747.796,91,19
1970-01-01 00:00:00.000000024,3749.3652,91,19
1970-01-01 00:00:00.000000025,3757.1472,91,19
1970-01-01 00:00:00.000000021,3759.4106,91,20
1970-01-01 00:00:00.000000022,3755.878,91,20
1970-01-01 00:00:00.000000023,3747.796,91,20
1970-01-01 00:00:00.000000024,3749.3652,91,20
1970-01-01 00:00:00.000000025,3757.1472,91,20
1970-01-01 00:00:00.000000026,3752.2893,91,20
1970-01-01 00:00:00.000000022,3755.878,91,21
1970-01-01 00:00:00.000000023,3747.796,91,21
1970-01-01 00:00:00.000000024,3749.3652,91,21
1970-01-01 00:00:00.000000025,3757.1472,91,21
1970-01-01 00:00:00.000000026,3752.2893,91,21
1970-01-01 00:00:00.000000027,3775.7314,91,21
1970-01-01 00:00:00.000000023,3747.796,91,22
1970-01-01 00:00:00.000000024,3749.3652,91,22
1970-01-01 00:00:00.000000025,3757.1472,91,22
1970-01-01 00:00:00.000000026,3752.2893,91,22
