sequence_index,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000326,57.127693,72,16
1970-01-01 00:00:00.000000327,56.029133,72,17
1970-01-01 00:00:00.000000328,55.553635,72,18
1970-01-01 00:00:00.000000329,55.46489,72,19
1970-01-01 00:00:00.000000330,55.536266,72,20
1970-01-01 00:00:00.000000331,56.13716,72,21
1970-01-01 00:00:00.000000332,56.875954,72,22
1970-01-01 00:00:00.000000333,57.56462,72,23
1970-01-01 00:00:00.000000334,59.129055,72,24
1970-01-01 00:00:00.000000335,60.27874,72,25
1970-01-01 00:00:00.000000336,62.169174,72,26
1970-01-01 00:00:00.000000337,58.698875,72,27
1970-01-01 00:00:00.000000338,55.87191,72,28
1970-01-01 00:00:00.000000339,55.40896,72,29
1970-01-01 00:00:00.000000340,55.054966,72,30
1970-01-01 00:00:00.000000341,55.355904,72,31
