minute,t_min,phase,return,first_chamber_filling,second_chamber_filling,separator_speed,fresh_feed_setpoint,gran1_blain,return_setpoint,return_error,first_chamber_filling_setpoint,first_chamber_filling_error,second_chamber_filling_setpoint,second_chamber_filling_error,gran1_blain_setpoint,gran1_blain_error,sim_Mm,sim_Mp,sim_Mr,sim_blaine,sim_H1,sim_H2,sim_H,sim_Mr_raw,sim_blaine_raw,mpc_cost,mpc_predicted_error_return,mpc_predicted_error_first_chamber_filling,mpc_predicted_error_second_chamber_filling,mpc_predicted_error_gran1_blain
86,86.0,controlled,147.50851708161528,20.86677604123856,33.63646905585481,205.0,130.0,4023.269643273179,80.0,67.50851708161528,50.0,-29.13322395876144,50.0,-16.36353094414519,5500.0,-1476.730356726821,333.0007335531084,129.99861458793885,147.50851708161528,4023.269643273179,20.86677604123856,33.63646905585481,54.50324509709337,203.00211896516947,4000.3010266127785,0.0,,,,
87,87.0,controlled,147.50858506975968,20.86678460230761,33.636483486998884,205.0,130.0,4023.2693816790825,80.0,67.50858506975968,50.0,-29.13321539769239,50.0,-16.363516513001116,5500.0,-1476.7306183209175,333.0008790496645,129.99862632982578,147.50858506975968,4023.2693816790825,20.86678460230761,33.636483486998884,54.503268089306495,203.00225271983868,4000.3008233727664,0.0,,,,
88,88.0,controlled,147.50865248165647,20.866793090818966,33.63649779583321,205.0,130.0,4023.269122302201,80.0,67.50865248165647,50.0,-29.133206909181034,50.0,-16.363502204166792,5500.0,-1476.7308776977989,333.00102331307323,129.9986379721718,147.50865248165647,4023.269122302201,20.866793090818966,33.63649779583321,54.503290886652174,203.0023853409015,4000.300621855361,0.0,,,,
89,89.0,controlled,147.5087193221913,20.866801507387724,33.636511983394676,205.0,130.0,4023.268865123736,80.0,67.5087193221913,50.0,-29.133198492612276,50.0,-16.363488016605324,5500.0,-1476.7311348762642,333.00116635378896,129.99864951582103,147.5087193221913,4023.268865123736,20.866801507387724,33.636511983394676,54.5033134907824,203.00251683796785,4000.300422045956,0.0,,,,
90,90.0,controlled,147.50878559620813,20.866809852623746,33.63652605071139,205.0,130.0,4023.2686101250492,80.0,67.50878559620813,50.0,-29.133190147376254,50.0,-16.36347394928861,5500.0,-1476.7313898749508,333.00130818217673,129.99866096161077,147.50878559620813,4023.2686101250492,20.866809852623746,33.63652605071139,54.503335903335135,203.00264722056596,4000.3002239300727,0.0,,,,
91,91.0,controlled,147.5088513085099,20.86681812713175,33.63653999880268,205.0,130.0,4023.2683572876595,80.0,67.50885130850989,50.0,-29.13318187286825,50.0,-16.363460001197318,5500.0,-1476.7316427123405,333.0014488085142,129.9986723103708,147.5088513085099,4023.2683572876595,20.86681812713175,33.63653999880268,54.50335812593443,203.00277649814342,4000.300027493352,0.0,,,,
92,92.0,controlled,147.50891646385887,20.8668263315113,33.63655382867929,205.0,130.0,4023.2681065932447,80.0,67.50891646385887,50.0,-29.1331736684887,50.0,-16.36344617132071,5500.0,-1476.7318934067553,333.0015882429917,129.9986835629241,147.50891646385887,4023.2681065932447,20.8668263315113,33.63655382867929,54.50338016019059,203.00290468006764,4000.2998327215596,0.0,,,,
93,93.0,controlled,147.50898106697676,20.8668344663569,33.63656754134334,205.0,130.0,4023.2678580236343,80.0,67.50898106697676,50.0,-29.1331655336431,50.0,-16.36343245865666,5500.0,-1476.7321419763657,333.0017264957131,129.99869472008666,147.50898106697676,4023.2678580236343,20.8668344663569,33.63656754134334,54.50340200770024,203.00303177562645,4000.2996396005788,0.0,,,,
94,94.0,controlled,147.50904512254536,20.866842532257976,33.636581137788504,205.0,130.0,4023.2676115608183,80.0,67.50904512254536,50.0,-29.133157467742024,50.0,-16.363418862211496,5500.0,-1476.7323884391817,333.00186357669656,129.99870578266749,147.50904512254536,4023.2676115608183,20.866842532257976,33.636581137788504,54.50342367004648,203.00315779402908,4000.299448116416,0.0,,,,
95,95.0,controlled,147.50910863520676,20.866850529799,33.63659461899999,205.0,130.0,4023.26736718693,80.0,67.50910863520676,50.0,-29.133149470201,50.0,-16.363405381000007,5500.0,-1476.7326328130698,333.0019994958753,129.99871675146872,147.50910863520676,4023.26736718693,20.866850529799,33.63659461899999,54.50344514879899,203.0032827444066,4000.299258255192,0.0,,,,
96,96.0,controlled,147.5091716095636,20.866858459559452,33.63660798595466,205.0,130.0,4023.2671248842635,80.0,67.5091716095636,50.0,-29.133141540440548,50.0,-16.36339201404534,5500.0,-1476.7328751157365,333.00213426309847,129.99872762728572,147.5091716095636,4023.2671248842635,20.866858459559452,33.63660798595466,54.503466445514114,203.00340663581272,4000.2990700031496,0.0,,,,
97,97.0,controlled,147.50923405017943,20.866866322113907,33.636621239621086,205.0,130.0,4023.2668846352562,80.0,67.50923405017943,50.0,-29.133133677886093,50.0,-16.363378760378914,5500.0,-1476.7331153647438,333.0022678881312,129.99873841090715,147.50923405017943,4023.2668846352562,20.866866322113907,33.636621239621086,54.50348756173499,203.00352947722413,4000.298883346645,0.0,,,,
